indicator,n,rho,r,rho_raw,r_raw,delta_rho,delta_r
AA Intelligence Index (composite),74,0.769030270802892,0.6686822692544635,0.7143978438079785,0.5762983723034266,0.05463242699491344,0.09238389695103688
GPQA-Diamond,75,0.7603203508155474,0.651266858421057,0.6901049819288415,0.5330749111172453,0.07021536888670588,0.11819194730381177
Humanity's Last Exam,75,0.637053842245953,0.5773697508694426,0.5503782044439494,0.4948646080969621,0.0866756378020036,0.08250514277248056
LiveCodeBench (AA),57,0.5361853835258076,0.43954985769538235,0.4991087346649805,0.33696996894638437,0.037076648860827066,0.10257988874899798
SciCode,75,0.7557898043418155,0.6728866913334832,0.6857715955110373,0.5610637751672828,0.07001820883077825,0.11182291616620044
AA Coding Index (composite),69,0.7750162131873652,0.67470352048317,0.7063637775575775,0.5640568736053054,0.06865243562978773,0.11064664687786452
AA Agentic Index (composite),67,0.7448491932602521,0.6615794193752024,0.6868408720769918,0.5613109943636498,0.05800832118326027,0.10026842501155253
MMLU-Pro,57,0.6196356852286099,0.5260181281625436,0.5839815944323828,0.4167961198747416,0.035654090796227056,0.10922200828780199
AA Math Index (composite),53,0.5282767884708106,0.40615317818868707,0.4631948301018397,0.28668389823820845,0.0650819583689709,0.11946927995047862
MATH-500,33,0.5969251336898397,0.5667659804807559,0.538101604278075,0.40713181205153054,0.05882352941176472,0.15963416842922534
MMMU-Pro,35,0.8542805854894882,0.7761523487570933,0.7250946416119569,0.633107723691542,0.12918594387753124,0.14304462506555127
$\tau^2$-Bench,70,0.6952413494141869,0.5935868163129275,0.6493083849972876,0.510198723952398,0.04593296441689931,0.08338809236052958
IFBench,72,0.6674920413780243,0.525863068434226,0.6090137315429838,0.4342419048116603,0.05847830983504054,0.09162116362256573
CritPT,68,0.6736567185241303,0.42195054566938994,0.6335663589301052,0.34409624702053776,0.04009035959402518,0.07785429864885218
