model,datasets,n_metric_obs,mean_z,median_z,rank,agc_rank,aa_match_name,aa_match_conf,gpqa_diamond,hle,mmlu_pro_aa,math_500_aa,livecodebench_aa,aime_2025_aa,aime_2024_aa,scicode_aa,ifbench_aa,tau2_aa,mmmu_pro_aa,critpt_aa,intelligence_index_aa,math_index_aa,coding_index_aa,agentic_index_aa,hf_match_name,hf_match_conf,lb_match_name,lb_match_conf,zebra_match_name,zebra_match_conf,arc_agi_1,arc_agi_2,has_gpqa,has_hle,has_mmlu_pro,has_math500_or_aime,has_livecodebench,has_scicode,has_zebra,has_musr,has_bbh,has_arc_agi_2,has_intel_idx,has_math_idx,has_coding_idx,n_benchmarks_covered,lb_zebra_puzzle,lb_amps_hard,lb_olympiad,lb_math_comp,lb_web_of_lies,lb_code_generation,zebra_puzzle_acc,bbh_hf,musr_hf,math_lvl5_hf,mmlu_pro_hf,gpqa_hf,ifeval_hf
anthropic_claude-opus-4.7,79,387,0.53096325640156,0.4585675482306757,1,1,"Claude Opus 4.7 (Adaptive Reasoning, Max Effort)",exact,0.914,0.396,,,,,,0.545,0.586,0.886,,0.12,57.28,,52.51,71.29,,none,,none,,none,,,True,True,False,False,False,True,False,False,False,False,True,False,True,3,,,,,,,,,,,,,
google_gemma-4-31b-it,79,387,0.4535840831043313,0.4237830079651241,2,2,Gemma 4 31B (Reasoning),exact,0.857,0.227,,,,,,0.434,0.756,0.599,0.734,0.014,39.18,,38.71,40.94,,none,,none,,none,,,True,True,False,False,False,True,False,False,False,False,True,False,True,3,,,,,,,,,,,,,
anthropic_claude-opus-4.5,79,387,0.4490513116463128,0.3940206730631254,3,6,Claude Opus 4.5 (Reasoning),exact,0.866,0.284,0.895,,0.871,0.913,,0.495,0.58,0.895,0.74,0.046,49.73,91.33,47.83,59.64,,none,claude-opus-4-5-20251101-thinking-64k-medium-effort,fuzzy(0.80),,none,0.357,0.086,True,True,True,True,True,True,True,False,False,True,True,True,True,8,83.75,98.0,88.805,92.157,,78.873,,,,,,,
z-ai_glm-5.1,79,387,0.4377518151450843,0.4060909348317448,4,3,GLM-5.1 (Reasoning),exact,0.868,0.28,,,,,,0.438,0.763,0.977,,0.046,51.41,,43.37,67.05,,none,,none,,none,,,True,True,False,False,False,True,False,False,False,False,True,False,True,3,,,,,,,,,,,,,
openai_gpt-5.5,68,351,0.4281592917375152,0.3856737606339446,5,13,GPT-5.5 (xhigh),exact,0.935,0.443,,,,,,0.561,0.759,0.939,0.799,0.271,60.24,,59.12,74.12,,none,gpt-5-mini,fuzzy(0.67),,none,,,True,True,False,False,False,True,True,False,False,False,True,False,True,4,41.0,98.0,78.295,89.216,,76.056,,,,,,,
z-ai_glm-5,79,387,0.4172645979529268,0.3919526081886875,6,4,GLM-5 (Reasoning),exact,0.82,0.272,,,,,,0.462,0.723,0.982,,0.02,49.77,,44.18,63.14,,none,,none,,none,,,True,True,False,False,False,True,False,False,False,False,True,False,True,3,,,,,,,,,,,,,
z-ai_glm-5-turbo,79,387,0.411354120443493,0.3961757115025785,7,5,GLM-5-Turbo,exact,0.847,0.254,,,,,,0.436,0.732,0.985,,0.003,46.76,,36.77,66.13,,none,,none,,none,,,True,True,False,False,False,True,False,False,False,False,True,False,True,3,,,,,,,,,,,,,
anthropic_claude-opus-4.6-fast,79,387,0.4066660052296516,0.3591775437823502,8,8,"Claude Opus 4.6 (Adaptive Reasoning, Max Effort)",fuzzy(0.80),0.896,0.367,,,,,,0.519,0.531,0.921,0.754,0.126,52.95,,48.09,67.58,,none,,none,,none,,,True,True,False,False,False,True,False,False,False,False,True,False,True,3,,,,,,,,,,,,,
anthropic_claude-sonnet-4.5,79,387,0.3999393639334018,0.3940177704970428,9,10,Claude 4.5 Sonnet (Reasoning),exact,0.834,0.173,0.875,,0.714,0.88,,0.447,0.573,0.781,0.687,0.011,43.03,88.0,38.63,51.72,,none,claude-sonnet-4-5-20250929-thinking-64k,fuzzy(0.80),,none,,,True,True,True,True,True,True,True,False,False,False,True,True,True,7,67.5,97.0,83.058,90.196,,80.282,,,,,,,
openai_gpt-5.4,68,351,0.3911233569356355,0.3795841657642171,10,17,GPT-5.4 (xhigh),exact,0.92,0.416,,,,,,0.566,0.739,0.871,0.784,0.234,56.8,,57.25,67.96,,none,,none,,none,,,True,True,False,False,False,True,False,False,False,False,True,False,True,3,,,,,,,,,,,,,
