model,datasets,n_metric_obs,mean_z,median_z,rank
anthropic/claude-opus-4.7,67,67,0.8035671974983681,0.8840123117064044,1
openai/gpt-5.4,67,67,0.7367663109855592,0.9313529491093694,2
openai/gpt-5.5,67,67,0.7361094495275183,0.7955291662600674,3
z-ai/glm-5.1,66,66,0.7110996739435222,0.6966801127718513,4
z-ai/glm-5-turbo,66,66,0.6677197377339446,0.7829307334123822,5
anthropic/claude-opus-4.6-fast,66,66,0.6632693631384353,0.8220295316913411,6
z-ai/glm-5,66,66,0.6508549776714708,0.7002373541626096,7
openai/gpt-5.1,66,66,0.6432276967869643,0.7899575838687962,8
google/gemma-4-31b-it,67,67,0.6419733012298466,0.6699805731329657,9
moonshotai/kimi-k2.5,67,67,0.6350844920352339,0.7303894127643752,10
moonshotai/kimi-k2-0905,66,66,0.6122258839102148,0.6551679149136616,11
z-ai/glm-4.7,66,66,0.5947211809989446,0.6434792128720569,12
anthropic/claude-opus-4.5,67,67,0.5848014304237922,0.7716913674535333,13
anthropic/claude-opus-4.6,65,65,0.5789234520056282,0.8374923248114992,14
google/gemma-4-26b-a4b-it,67,67,0.5391290527155898,0.6097779397565977,15
google/gemini-2.5-flash,66,66,0.5077461453638226,0.5424473598268459,16
moonshotai/kimi-k2.6,67,67,0.4898234540776453,0.6179756060506663,17
anthropic/claude-sonnet-4.5,67,67,0.4885360822494439,0.7670704350145293,18
anthropic/claude-sonnet-4.6,67,67,0.48017956909528586,0.7071507745346427,19
deepseek/deepseek-v3.2-exp,66,66,0.4654249766494132,0.5885340052617622,20
openai/gpt-5.4-mini,66,66,0.4483349581345775,0.525349311299296,21
deepseek/deepseek-v3.1-terminus,66,66,0.44393414221783084,0.5810041183860271,22
openai/gpt-4.1,66,66,0.4321669168357144,0.41373806707674654,23
deepseek/deepseek-v3.2,66,66,0.41998759461037516,0.490738546774959,24
qwen/qwen3.5-flash-02-23,67,67,0.38752465188607665,0.36344782460152064,25
qwen/qwen3-next-80b-a3b-instruct,66,66,0.38194370760111973,0.38241975782287096,26
anthropic/claude-sonnet-4,66,66,0.38146169345605047,0.6034301656205886,27
baidu/ernie-4.5-300b-a47b,66,66,0.37911141733082654,0.32139765254894415,28
mistralai/mistral-medium-3.1,67,67,0.35737278659499033,0.39891338931719167,29
deepseek/deepseek-chat-v3.1,66,66,0.32486998664156636,0.40675896905331055,30
nex-agi/deepseek-v3.1-nex-n1,66,66,0.3214750766553327,0.4061652700936253,31
anthropic/claude-3.7-sonnet,67,67,0.29757338924071447,0.3492834674182846,32
mistralai/mistral-large-2512,67,67,0.26712434339862,0.44467128152246427,33
openai/gpt-4o,67,67,0.25899010861603705,0.2699833370895456,34
z-ai/glm-4.6,66,66,0.25365541508421335,0.4059864535637751,35
anthropic/claude-haiku-4.5,67,67,0.2320708736524949,0.3716927477653635,36
nvidia/nemotron-3-super-120b-a12b,66,66,0.23058359436823,0.2899812275827368,37
openai/gpt-4.1-mini,66,66,0.2184976263162161,0.24701006708356513,38
nousresearch/hermes-4-405b,66,66,0.15228042736276062,0.17123321645413125,39
mistralai/mixtral-8x22b-instruct,66,66,0.12589626371289836,0.23036940101928297,40
baidu/ernie-4.5-vl-424b-a47b,67,67,0.11850763470821274,0.05657245810532089,41
openai/gpt-5.4-nano,66,66,0.1134374370868061,0.14934119644963662,42
deepseek/deepseek-chat-v3-0324,66,66,0.08176113445682522,0.205275137529062,43
deepcogito/cogito-v2.1-671b,66,66,0.07287145617753096,0.2421774674330669,44
openai/gpt-4o-mini,67,67,0.041510367431692397,0.07612168633366492,45
allenai/olmo-3.1-32b-instruct,66,66,0.03664007783143358,0.0990191703083321,46
google/gemma-3-12b-it,67,67,-0.016690896449032447,0.015955043756598945,47
ai21/jamba-large-1.7,66,66,-0.046487203483223036,-0.0969661251938488,48
deepseek/deepseek-chat,66,66,-0.05373654303126627,0.0882272492605865,49
google/gemma-3-27b-it,67,67,-0.07553325025732388,0.03322221288496702,50
nousresearch/hermes-4-70b,66,66,-0.08041058986189314,-0.15312982896795338,51
nousresearch/hermes-3-llama-3.1-405b,66,66,-0.11860920011301214,-0.18523371316417792,52
qwen/qwen-turbo,66,66,-0.14392634489738668,-0.09846479629641097,53
mistralai/ministral-8b-2512,67,67,-0.15403480661534252,-0.22971015018841812,54
meta-llama/llama-3.1-70b-instruct,66,66,-0.21466901911647016,-0.2867842400560956,55
mistralai/pixtral-large-2411,67,67,-0.24128973662927694,-0.1989519655573569,56
nvidia/nemotron-nano-12b-v2-vl,67,67,-0.25917022539403534,-0.3275967974550777,57
amazon/nova-lite-v1,67,67,-0.2777564639943655,-0.24720776460684865,58
amazon/nova-2-lite-v1,67,67,-0.28423599923581777,-0.32532745613917236,59
amazon/nova-pro-v1,67,67,-0.2863374935459662,-0.24128467409035745,60
arcee-ai/trinity-large-preview,66,66,-0.28954362488159285,-0.18536358552929766,61
google/gemma-3-4b-it,67,67,-0.29201883775226084,-0.20455858408408875,62
meta-llama/llama-3.3-70b-instruct,66,66,-0.3293449561603685,-0.3399993709058148,63
minimax/minimax-01,67,67,-0.3374645303211037,-0.27954727989565115,64
meta-llama/llama-4-scout,67,67,-0.3714560267991061,-0.4125038214086408,65
nvidia/nemotron-nano-9b-v2,66,66,-0.3965624377560228,-0.40145807306264036,66
mistralai/mistral-nemo,66,66,-0.4207475842896795,-0.4025442768601763,67
tencent/hunyuan-a13b-instruct,66,66,-0.4459340590321022,-0.4311399424014509,68
meta-llama/llama-4-maverick,67,67,-0.4874812761336905,-0.529267967552775,69
amazon/nova-micro-v1,66,66,-0.5249593544825012,-0.49895648522334135,70
meta-llama/llama-3.2-11b-vision-instruct,67,67,-0.5783060111062649,-0.6579877500378482,71
