model,datasets,n_metric_obs,mean_z,median_z,rank
anthropic/claude-opus-4.7,78,960,0.4773946486294572,0.4118184084865235,1
openai/gpt-5.5,78,960,0.4593813050265269,0.378452187239731,2
google/gemma-4-31b-it,78,960,0.4422660252305826,0.3776484433005581,3
anthropic/claude-opus-4.6-fast,78,960,0.4421015529691435,0.3509876936487135,4
anthropic/claude-opus-4.5,78,960,0.4329433950479149,0.3792042274398178,5
z-ai/glm-5.1,78,960,0.429149157343643,0.3657811494583246,6
z-ai/glm-5-turbo,78,960,0.4214015644368137,0.3523723544717095,7
z-ai/glm-5,78,960,0.4144166493478984,0.3467150962366465,8
z-ai/glm-4.7,78,960,0.4092517656866165,0.337831981010614,9
anthropic/claude-sonnet-4.5,78,960,0.3940309182502448,0.361655233256075,10
openai/gpt-5.4,78,960,0.3778934356860102,0.3794632100406516,11
anthropic/claude-opus-4.6,78,960,0.3777877217947977,0.3487209013995977,12
google/gemini-2.5-flash,78,960,0.3696504204542982,0.3469910158098668,13
openai/gpt-5.1,78,960,0.3545447895330463,0.3324325023100397,14
google/gemma-4-26b-a4b-it,78,960,0.3516313502017916,0.3485961353180676,15
openai/gpt-4.1,78,960,0.3407833316556917,0.315229119648293,16
deepseek/deepseek-v3.2,78,960,0.3343518160286568,0.3332780804744855,17
z-ai/glm-4.6,78,960,0.3216811868915878,0.3257086701748675,18
moonshotai/kimi-k2.5,78,960,0.3210211813453882,0.3001962851109381,19
deepseek/deepseek-v3.2-exp,78,960,0.3078734032568738,0.337831981010614,21
anthropic/claude-sonnet-4,78,960,0.3039858743240871,0.3384863276032931,22
deepseek/deepseek-v3.1-terminus,78,960,0.2969225633952174,0.3124332649476797,25
moonshotai/kimi-k2-0905,78,960,0.2800073195828909,0.2968039063627684,27
baidu/ernie-4.5-300b-a47b,78,960,0.2770958152320741,0.2819907967914424,28
deepseek/deepseek-chat-v3.1,78,960,0.2654778519127374,0.3143654429194836,30
openai/gpt-4.1-mini,78,960,0.2643727188094736,0.2707062268011899,31
nex-agi/deepseek-v3.1-nex-n1,78,960,0.2502494708025111,0.296634925498669,33
anthropic/claude-sonnet-4.6,78,960,0.248531146303339,0.2919199750789172,34
openai/gpt-4o,78,960,0.2423264129045471,0.2358363102249276,36
moonshotai/kimi-k2.6,78,960,0.2306767807255102,0.2289889558779211,38
anthropic/claude-3.7-sonnet,78,960,0.2152083733371606,0.27584540459147,41
qwen/qwen3.5-flash-02-23,78,960,0.2104846074608682,0.2435672675404869,42
ai21/jamba-large-1.7,78,960,0.2073273332887759,0.2442023941907781,44
nousresearch/hermes-4-405b,78,960,0.2026693873144819,0.2026925362331144,45
anthropic/claude-haiku-4.5,78,960,0.1921112633830854,0.3045737876861274,50
