model,datasets,n_metric_obs,mean_z,median_z,rank,n_datasets_new,n_obs_new,mean_z_new,median_z_new,rank_new,rank_delta
anthropic/claude-opus-4.7,78,960,0.4773946486294572,0.4118184084865235,1,81,81,0.6383081547680107,0.7306249602830541,1.0,0.0
openai/gpt-5.5,78,960,0.4593813050265269,0.378452187239731,2,81,81,0.6049677797045686,0.6654995231923323,4.0,2.0
google/gemma-4-31b-it,78,960,0.4422660252305826,0.3776484433005581,3,81,81,0.5523406513645888,0.6086608872285375,8.0,5.0
anthropic/claude-opus-4.6-fast,78,960,0.4421015529691435,0.3509876936487135,4,80,80,0.5443980310208979,0.6650890242929794,9.0,5.0
anthropic/claude-opus-4.5,78,960,0.4329433950479149,0.3792042274398178,5,81,81,0.4748655106155421,0.5858271198379416,14.0,9.0
z-ai/glm-5.1,78,960,0.429149157343643,0.3657811494583246,6,80,80,0.6087439262271087,0.625616044050048,3.0,-3.0
z-ai/glm-5-turbo,78,960,0.4214015644368137,0.3523723544717095,7,80,80,0.5894396389654022,0.604821834213143,6.0,-1.0
z-ai/glm-5,78,960,0.4144166493478984,0.3467150962366465,8,80,80,0.5920978015559187,0.5491187786633578,5.0,-3.0
z-ai/glm-4.7,78,960,0.4092517656866165,0.337831981010614,9,80,80,0.5600006729067311,0.4874584210287742,7.0,-2.0
anthropic/claude-sonnet-4.5,78,960,0.3940309182502448,0.361655233256075,10,81,81,0.3856386376276522,0.5131180115614435,22.0,12.0
openai/gpt-5.4,78,960,0.3778934356860102,0.3794632100406516,11,81,81,0.6171594246654329,0.6987095590320016,2.0,-9.0
anthropic/claude-opus-4.6,78,960,0.3777877217947977,0.3487209013995977,12,79,79,0.4848911343584477,0.6935154401021669,13.0,1.0
google/gemini-2.5-flash,78,960,0.3696504204542982,0.3469910158098668,13,80,80,0.4107732536719607,0.44611648671083,18.0,5.0
openai/gpt-5.1,78,960,0.3545447895330463,0.3324325023100397,14,80,80,0.5424595502995111,0.5408636243809062,10.0,-4.0
google/gemma-4-26b-a4b-it,78,960,0.3516313502017916,0.3485961353180676,15,81,81,0.4429307285430584,0.5001348247873253,15.0,0.0
openai/gpt-4.1,78,960,0.3407833316556917,0.315229119648293,16,80,80,0.3906828991281332,0.3849848817051731,20.0,4.0
deepseek/deepseek-v3.2,78,960,0.3343518160286568,0.3332780804744855,17,80,80,0.3876553652079606,0.4413658265064288,21.0,4.0
z-ai/glm-4.6,78,960,0.3216811868915878,0.3257086701748675,18,80,80,0.3389620170363113,0.3380184340896587,27.0,9.0
moonshotai/kimi-k2.5,78,960,0.3210211813453882,0.3001962851109381,19,81,81,0.5341658849307803,0.6002736744463921,12.0,-7.0
deepseek/deepseek-v3.2-exp,78,960,0.3078734032568738,0.337831981010614,21,80,80,0.4255690961250617,0.466150807453291,16.0,-5.0
anthropic/claude-sonnet-4,78,960,0.3039858743240871,0.3384863276032931,22,80,80,0.2828653136545867,0.4162827097885548,38.0,16.0
deepseek/deepseek-v3.1-terminus,78,960,0.2969225633952174,0.3124332649476797,25,80,80,0.3812972644748174,0.4425250922498185,23.0,-2.0
moonshotai/kimi-k2-0905,78,960,0.2800073195828909,0.2968039063627684,27,80,80,0.5348120693003947,0.4963614783940531,11.0,-16.0
baidu/ernie-4.5-300b-a47b,78,960,0.2770958152320741,0.2819907967914424,28,80,80,0.3218546983168954,0.2910762666187508,31.0,3.0
deepseek/deepseek-chat-v3.1,78,960,0.2654778519127374,0.3143654429194836,30,80,80,0.3012524327439876,0.3727012780560297,34.0,4.0
openai/gpt-4.1-mini,78,960,0.2643727188094736,0.2707062268011899,31,80,80,0.2239934471038337,0.2541221559952877,48.0,17.0
nex-agi/deepseek-v3.1-nex-n1,78,960,0.2502494708025111,0.296634925498669,33,80,80,0.2496491081308098,0.28120289927873,44.0,11.0
anthropic/claude-sonnet-4.6,78,960,0.248531146303339,0.2919199750789172,34,81,81,0.3939191259053514,0.4317458761591086,19.0,-15.0
openai/gpt-4o,78,960,0.2423264129045471,0.2358363102249276,36,81,81,0.1987626763717072,0.195481580022077,54.0,18.0
moonshotai/kimi-k2.6,78,960,0.2306767807255102,0.2289889558779211,38,81,81,0.4148810761936571,0.360333048123268,17.0,-21.0
anthropic/claude-3.7-sonnet,78,960,0.2152083733371606,0.27584540459147,41,81,81,0.284963839061809,0.349283467418284,37.0,-4.0
qwen/qwen3.5-flash-02-23,78,960,0.2104846074608682,0.2435672675404869,42,81,81,0.3264337347222308,0.2852052386139621,30.0,-12.0
ai21/jamba-large-1.7,78,960,0.2073273332887759,0.2442023941907781,44,80,80,-0.0153419178027535,-0.0155918605449787,79.0,35.0
nousresearch/hermes-4-405b,78,960,0.2026693873144819,0.2026925362331144,45,80,80,0.1266789657616304,0.1977637108563537,67.0,22.0
anthropic/claude-haiku-4.5,78,960,0.1921112633830854,0.3045737876861274,50,81,81,0.1790656344539941,0.2886060851318319,55.0,5.0
mistralai/mistral-medium-3.1,78,960,0.1792006449339442,0.2376636893075358,52,81,81,0.3345731596977553,0.3579122669916302,28.0,-24.0
mistralai/mixtral-8x22b-instruct,78,960,0.1761479136905901,0.244239231186485,53,80,80,0.1579622150571901,0.2389263038341211,59.0,6.0
allenai/olmo-3.1-32b-instruct,78,960,0.1675880811241459,0.2329798543269134,56,80,80,0.0483116103349854,0.1193823685823041,74.0,18.0
