model,is_proprietary,params_total_B,params_active_B,architecture,mean_z,rank
anthropic/claude-opus-4.7,True,,,,0.8035671974983681,1
openai/gpt-5.4,True,,,,0.7367663109855592,2
openai/gpt-5.5,True,,,,0.7361094495275183,3
z-ai/glm-5.1,False,355.0,32.0,MoE,0.7110996739435224,4
z-ai/glm-5-turbo,False,355.0,32.0,MoE,0.6677197377339446,5
anthropic/claude-opus-4.6-fast,True,,,,0.6632693631384353,6
z-ai/glm-5,False,355.0,32.0,MoE,0.6508549776714708,7
openai/gpt-5.1,True,,,,0.6432276967869643,8
google/gemma-4-31b-it,True,31.0,31.0,dense,0.6419733012298467,9
moonshotai/kimi-k2.5,False,1000.0,32.0,MoE,0.6350844920352339,10
moonshotai/kimi-k2-0905,False,1000.0,32.0,MoE,0.6122258839102148,11
z-ai/glm-4.7,False,355.0,32.0,MoE,0.5947211809989446,12
anthropic/claude-opus-4.5,True,,,,0.5848014304237922,13
anthropic/claude-opus-4.6,True,,,,0.5789234520056282,14
google/gemma-4-26b-a4b-it,True,26.0,4.0,MoE,0.5391290527155899,15
google/gemini-2.5-flash,True,,,,0.5077461453638226,16
moonshotai/kimi-k2.6,False,1000.0,32.0,MoE,0.4898234540776453,17
anthropic/claude-sonnet-4.5,True,,,,0.4885360822494439,18
anthropic/claude-sonnet-4.6,True,,,,0.4801795690952858,19
deepseek/deepseek-v3.2-exp,False,671.0,37.0,MoE,0.4654249766494132,20
openai/gpt-5.4-mini,True,,,,0.4483349581345776,21
deepseek/deepseek-v3.1-terminus,False,671.0,37.0,MoE,0.4439341422178309,22
openai/gpt-4.1,True,,,,0.4321669168357144,23
deepseek/deepseek-v3.2,False,671.0,37.0,MoE,0.4199875946103751,24
qwen/qwen3.5-flash-02-23,True,,,,0.3875246518860766,25
qwen/qwen3-next-80b-a3b-instruct,False,80.0,3.0,MoE,0.3819437076011197,26
anthropic/claude-sonnet-4,True,,,,0.3814616934560505,27
baidu/ernie-4.5-300b-a47b,True,300.0,47.0,MoE,0.3791114173308266,28
mistralai/mistral-medium-3.1,True,,,,0.3573727865949904,29
deepseek/deepseek-chat-v3.1,False,671.0,37.0,MoE,0.3248699866415664,30
nex-agi/deepseek-v3.1-nex-n1,True,,,,0.3214750766553327,31
anthropic/claude-3.7-sonnet,True,,,,0.2975733892407145,32
mistralai/mistral-large-2512,True,,,,0.26712434339862,33
openai/gpt-4o,True,,,,0.2589901086160371,34
z-ai/glm-4.6,False,355.0,32.0,MoE,0.2536554150842134,35
anthropic/claude-haiku-4.5,True,,,,0.2320708736524949,36
nvidia/nemotron-3-super-120b-a12b,False,120.0,12.0,MoE,0.23058359436823,37
openai/gpt-4.1-mini,True,,,,0.2184976263162161,38
