model,Brainstorming,Humor,Literary and Narrative,Problem Solving,STEM
ai21/jamba-large-1.7,0.3021488125337284,0.0736093453455368,0.2548451656867551,0.229278956223552,-0.2937373363191916
allenai/olmo-3.1-32b-instruct,0.2212922859738816,0.0736093453455368,0.3493709851867612,-0.2313853940199736,0.1091847940414443
amazon/nova-2-lite-v1,0.0275643883822576,-1.1293892062448818,-0.2653348253485664,0.0556478417559176,-0.2338520650724195
amazon/nova-lite-v1,0.2851477235192803,1.44252854373447,0.2481813547898315,-0.1883135006136308,-0.4601504604767756
amazon/nova-micro-v1,0.1889975022828838,-1.8350878369753645,-0.5539980104774918,-0.3176826601243671,-0.5454097250384348
amazon/nova-pro-v1,0.3804982241112076,-0.1305449752056995,0.0915050680730308,0.1800086930857038,-0.1285710756801049
anthropic/claude-3.7-sonnet,-0.3475748187848451,-0.1136495250952543,0.2924252875313737,0.8145745535635308,0.3267361474984872
anthropic/claude-haiku-4.5,-0.2727093681580603,0.6036513861930728,-0.109264205600048,0.0568342750967395,-0.3866692292490902
anthropic/claude-opus-4.5,-0.1570259572842409,0.2552270570485926,0.5590277067659511,0.5999362705021434,0.3035724682350358
anthropic/claude-opus-4.6,-0.1207805099551077,0.2552270570485926,0.8766498528518228,0.4006972817706666,-0.0023711187427769
anthropic/claude-opus-4.6-fast,-0.0625442545236382,0.2552270570485926,0.9475225508805334,0.344939124064179,0.0958668575290895
anthropic/claude-opus-4.7,-0.0721711605147104,0.4317458761591086,0.6619473685052346,0.7689093024431347,0.1012816699992634
anthropic/claude-sonnet-4,0.0345476376434675,0.9353277855130124,0.3583020448609929,-0.3043143287571628,0.1105825074662374
anthropic/claude-sonnet-4.5,-0.2123017145040221,0.4317458761591086,0.5261043381543601,0.5296219071692173,0.2783041257228135
anthropic/claude-sonnet-4.6,-0.1372387267390193,0.4317458761591086,0.4006697308743058,0.481065219187155,0.3434221226854387
arcee-ai/trinity-large-preview,0.1168525374047836,-2.231113431364326,-0.2007393561395812,-1.3891580340647944,-0.1105398671286296
baidu/ernie-4.5-300b-a47b,0.3076823394702859,0.4317458761591086,0.4423981405536062,0.4495169345187387,0.7543731304931172
baidu/ernie-4.5-vl-424b-a47b,0.2251809969477965,0.4317458761591086,0.2272413626147856,0.4988381405019791,0.084828705649925
deepcogito/cogito-v2.1-671b,-0.1300900894237868,0.4317458761591086,0.1852143270804839,0.1939797081630707,0.1501806284661657
deepseek/deepseek-chat,-0.1521536437521165,0.1027418179336153,-0.1988859573658692,-0.6093875081409935,-0.1475577351298012
