model,Brainstorming,Figurative Language,Humor,Problem Solving,STEM,Story / Narrative
ai21/jamba-large-1.7,-1.3023613124078917,-0.015244552294599025,0.001419915360954988,0.21364183837484804,-0.1057571818317744,0.02783891809785955
allenai/olmo-3.1-32b-instruct,0.16756069648081132,0.07362845728398974,-0.08605193974138799,0.03355175131145933,-0.016928665356633704,0.1440910574395823
amazon/nova-2-lite-v1,-0.17823598580920494,-0.750630800874887,-0.44554445071730303,-0.29679033180870895,-0.06646955421472624,-0.10229952977597556
amazon/nova-lite-v1,-0.7140045413051616,-0.15712541462319118,-0.1466476833718911,0.4915169579896399,-0.23767995844857856,-0.6898986198661745
amazon/nova-micro-v1,-0.4069771013299675,-0.2809552971426472,-0.6364077345139142,-0.4383668179458019,-0.5250925687805509,-0.6118963102955772
amazon/nova-pro-v1,-0.9477644285267511,-0.4485364352629091,-0.3266777389048816,0.3452476670346722,-0.08778262378285988,-0.4299827119776847
anthropic/claude-3.7-sonnet,0.5958916765518404,0.12066640975925774,0.5789182250660256,0.4789535291534352,-0.0949537256254289,0.28434461053533605
anthropic/claude-haiku-4.5,0.5832041195193831,0.09267129599244898,0.5774208918423493,0.3007728964616798,-0.19056466940914918,0.32641809857369275
anthropic/claude-opus-4.5,0.8303261354019638,0.8203402820191408,0.5757707779173553,0.6862141382085707,0.3235223402864449,0.576369716934283
anthropic/claude-opus-4.6,0.8915435711083873,1.32499244564286,0.48376053466422775,0.29331676367702325,0.2979665894259646,0.49665879535573126
anthropic/claude-opus-4.6-fast,0.905256863260323,1.3599382830093965,0.43217384370972023,0.29701493632210835,0.3152767495941206,0.7494092183644989
anthropic/claude-opus-4.7,0.9338169257514078,1.1028927789249698,1.08731860831238,0.9186960991354141,0.5305607989874702,0.6211150530194849
anthropic/claude-sonnet-4,0.7039880362191221,0.15415958949613104,0.5403123832013874,0.12586144692597404,0.461360970893111,0.44885116331767033
anthropic/claude-sonnet-4.5,0.7857996489809443,0.177203729106777,0.6307484371127842,0.7022486657049346,0.34882867456920463,0.5008510576363576
anthropic/claude-sonnet-4.6,0.8613912020433835,0.5221531507360354,0.25042329158280796,0.6126511827241082,0.21978723214833296,0.5556062812252824
arcee-ai/trinity-large-preview,-0.2551984772610286,-0.29679520063167814,-0.5613990299294166,-0.9324698474720355,-0.05563783854255222,-0.12288667509751532
baidu/ernie-4.5-300b-a47b,0.07788132184868242,0.7071123166474507,0.2717152078518089,0.49452070594214126,0.5338632434725338,0.12136821821087654
baidu/ernie-4.5-vl-424b-a47b,-0.728394452389602,0.056522161003395625,0.08634281820709613,0.3934659149379842,0.04426712961729671,0.18081219771342327
deepcogito/cogito-v2.1-671b,0.3679283215064084,-0.15370766575365696,-0.12301481580828925,0.29416810418924527,-0.08948914219352208,0.38052915384660163
