model,datasets,n_metric_obs,mean_z,median_z,rank
anthropic/claude-opus-4.7,67,67,0.7966890535562174,0.8734879693662138,1
openai/gpt-5.5,67,67,0.7344115135427177,0.7941259822722552,2
openai/gpt-5.4,67,67,0.7266975282992069,0.9313529491093694,3
z-ai/glm-5.1,66,66,0.7048667383884987,0.6961057365663156,4
z-ai/glm-5-turbo,66,66,0.6628257980561101,0.7829307334123822,5
z-ai/glm-5,66,66,0.6503592598176526,0.7002373541626096,6
anthropic/claude-opus-4.6-fast,66,66,0.6503080065802994,0.8220295316913411,7
google/gemma-4-31b-it,67,67,0.6447116988258389,0.6699805731329657,8
openai/gpt-5.1,66,66,0.6325813382203002,0.7956116913080176,9
moonshotai/kimi-k2.5,67,67,0.6250555000918336,0.7303894127643752,10
moonshotai/kimi-k2-0905,66,66,0.6026109209491894,0.6551679149136616,11
z-ai/glm-4.7,66,66,0.593735224623069,0.6399800604421758,12
anthropic/claude-opus-4.5,67,67,0.5759483395174816,0.7716913674535333,13
anthropic/claude-opus-4.6,65,65,0.5661704548268207,0.8631889266038618,14
google/gemma-4-26b-a4b-it,67,67,0.5431207038419817,0.5988592590234543,15
google/gemini-2.5-flash,66,66,0.4960054623711568,0.547333325600398,16
anthropic/claude-sonnet-4.5,67,67,0.4793554309778127,0.7670704350145293,17
moonshotai/kimi-k2.6,67,67,0.47508587853705325,0.6173461251032006,18
anthropic/claude-sonnet-4.6,67,67,0.46760023678512974,0.7071507745346427,19
deepseek/deepseek-v3.2-exp,66,66,0.4580850883495469,0.5885340052617622,20
deepseek/deepseek-v3.1-terminus,66,66,0.4352265090921907,0.5810041183860271,21
openai/gpt-5.4-mini,66,66,0.4335684558326076,0.5286357617281877,22
openai/gpt-4.1,66,66,0.4273466285358929,0.41373806707674654,23
deepseek/deepseek-v3.2,66,66,0.4113909231721018,0.490738546774959,24
baidu/ernie-4.5-300b-a47b,66,66,0.38336461884320583,0.32021140262312153,25
