model,mean_z,lsa_acc
anthropic/claude-opus-4.7,0.7966890535562174,0.3
openai/gpt-5.5,0.7344115135427177,0.646
openai/gpt-5.4,0.7266975282992069,0.452
z-ai/glm-5.1,0.7048667383884987,0.31
z-ai/glm-5-turbo,0.6628257980561101,0.344
z-ai/glm-5,0.6503592598176526,0.206
anthropic/claude-opus-4.6-fast,0.6503080065802994,0.498
google/gemma-4-31b-it,0.6447116988258389,0.472
openai/gpt-5.1,0.6325813382203002,0.314
moonshotai/kimi-k2.5,0.6250555000918336,0.238
moonshotai/kimi-k2-0905,0.6026109209491894,0.418
z-ai/glm-4.7,0.593735224623069,0.046
anthropic/claude-opus-4.5,0.5759483395174816,0.536
anthropic/claude-opus-4.6,0.5661704548268207,0.428
google/gemma-4-26b-a4b-it,0.5431207038419817,0.288
google/gemini-2.5-flash,0.4960054623711568,0.416
anthropic/claude-sonnet-4.5,0.4793554309778127,0.384
moonshotai/kimi-k2.6,0.47508587853705325,0.086
anthropic/claude-sonnet-4.6,0.46760023678512974,0.486
deepseek/deepseek-v3.2-exp,0.4580850883495469,0.388
deepseek/deepseek-v3.1-terminus,0.4352265090921907,0.378
openai/gpt-5.4-mini,0.4335684558326076,0.338
openai/gpt-4.1,0.4273466285358929,0.368
deepseek/deepseek-v3.2,0.4113909231721018,0.35
baidu/ernie-4.5-300b-a47b,0.38336461884320583,0.412
qwen/qwen3.5-flash-02-23,0.37541353494320434,0.774
qwen/qwen3-next-80b-a3b-instruct,0.3735916479568801,0.358
anthropic/claude-sonnet-4,0.3698784120838532,0.49
mistralai/mistral-medium-3.1,0.3469200120966299,0.366
deepseek/deepseek-chat-v3.1,0.31134241200155005,0.378
nex-agi/deepseek-v3.1-nex-n1,0.3055008667712388,0.388
anthropic/claude-3.7-sonnet,0.2879415156055767,0.438
openai/gpt-4o,0.26200972563503533,0.356
mistralai/mistral-large-2512,0.25430719549384834,0.378
z-ai/glm-4.6,0.24243606156353484,0.222
anthropic/claude-haiku-4.5,0.21998321930043185,0.4
nvidia/nemotron-3-super-120b-a12b,0.21499692467763074,0.102
openai/gpt-4.1-mini,0.21252419949582924,0.328
nousresearch/hermes-4-405b,0.147813068576456,0.388
deepcogito/cogito-v2.1-671b,0.13551652681476065,0.394
mistralai/mixtral-8x22b-instruct,0.1105452210171214,0.31
baidu/ernie-4.5-vl-424b-a47b,0.11045898372776262,0.374
openai/gpt-5.4-nano,0.09608431947660737,0.062
deepseek/deepseek-chat-v3-0324,0.06568979239484715,0.368
openai/gpt-4o-mini,0.033372282166386956,0.214
allenai/olmo-3.1-32b-instruct,0.02556087104854656,0.148
google/gemma-3-12b-it,-0.030676266483742696,0.228
ai21/jamba-large-1.7,-0.06087804652807819,0.224
deepseek/deepseek-chat,-0.06797821866183469,0.322
nousresearch/hermes-4-70b,-0.08621156331969329,0.342
google/gemma-3-27b-it,-0.08930192038010595,0.266
nousresearch/hermes-3-llama-3.1-405b,-0.1275993911587902,0.378
qwen/qwen-turbo,-0.15633054077102554,0.234
mistralai/ministral-8b-2512,-0.16925786908408616,0.18
meta-llama/llama-3.1-70b-instruct,-0.2279545812080085,0.372
mistralai/pixtral-large-2411,-0.25567888453114723,0.232
nvidia/nemotron-nano-12b-v2-vl,-0.2784162646718248,0.008
amazon/nova-lite-v1,-0.29058232720847343,0.298
amazon/nova-pro-v1,-0.2949088069225194,0.32
amazon/nova-2-lite-v1,-0.3044011131935225,0.198
google/gemma-3-4b-it,-0.3108176510306282,0.146
arcee-ai/trinity-large-preview,-0.31086630901109835,0.29
meta-llama/llama-3.3-70b-instruct,-0.34304164338357424,0.364
minimax/minimax-01,-0.35477628235109104,0.376
meta-llama/llama-4-scout,-0.38261654165798853,0.274
tencent/hunyuan-a13b-instruct,-0.40305582058880646,0.152
nvidia/nemotron-nano-9b-v2,-0.4179817619153118,0.05
mistralai/mistral-nemo,-0.4399503970858224,0.132
google/gemma-2-27b-it,-0.4620045417471448,0.214
meta-llama/llama-4-maverick,-0.5111657885668315,0.396
amazon/nova-micro-v1,-0.5404487009432056,0.164
meta-llama/llama-3.2-11b-vision-instruct,-0.5947922602804596,0.106
meta-llama/llama-3.1-8b-instruct,-0.6848920071959207,0.104
meta-llama/llama-3-8b-instruct,-0.6920040808803111,0.092
ibm-granite/granite-4.0-h-micro,-0.736723467086019,0.118
nvidia/nemotron-3-nano-30b-a3b,-0.9858454643770722,0.044
minimax/minimax-m2-her,-1.0258424331285318,0.096
qwen/qwen3-14b,-1.0404037035091813,0.096
z-ai/glm-4.5v,-1.0447166827158914,0.13
meta-llama/llama-3.2-3b-instruct,-1.098695252056574,0.044
mistralai/mistral-small-3.1-24b-instruct,-1.2055719436222752,0.318
nousresearch/hermes-3-llama-3.1-70b,-1.5894783811408637,0.318
