model,dataset,canonical_metric,raw_score,dataset_z,release_mean,release_sd,release_n,cohort_source,domain,stats_json
anthropic/claude-haiku-4.5,analobench,accuracy,0.8,0.13338179541416123,0.7768524096385541,0.1735438504900226,83,agc_long_metric_z,Problem Solving,benchmark_output/runs/first_full_trial/analobench:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,arastories,fluency,3.2,0.1063199082493368,1.9886746987951809,11.393212439236423,83,agc_long_metric_z,Story / Narrative,benchmark_output/runs/first_full_trial/arastories:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,arena_hard_creative,arena_hard_instance_score,70.0,0.961929482844319,39.55784361937546,31.6469730095084,83,agc_long_metric_z,Humor,benchmark_output/runs/first_full_trial/arena_hard_creative:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,arn,arn_accuracy,1.0,2.9523523575820576,0.7588234151989806,0.0816896344305394,82,agc_long_metric_z,Story / Narrative,benchmark_output/runs/first_full_trial/arn:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,brainteaser,brainteaser_all_overall_accuracy,0.26666666666666666,0.2710277158866491,0.2450190197975149,0.0798724469869546,83,agc_long_metric_z,Problem Solving,benchmark_output/runs/first_full_trial/brainteaser:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,c3_crosstalk,bleu_2,0.13145010226410264,0.6639200306602898,0.1097362009381455,0.0327055975466834,83,agc_long_metric_z,Humor,benchmark_output/runs/first_full_trial/c3_crosstalk:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,chinese_homophonic_puns,exact_match_accuracy,0.8,1.6719427516034868,0.4253012048192771,0.2241098236296463,83,agc_long_metric_z,Humor,benchmark_output/runs/first_full_trial/chinese_homophonic_puns:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,conceptual_design,conceptual_design_novelty,1.0,0.4044310769629766,0.8229280759401242,0.4378296677633548,83,agc_long_metric_z,,benchmark_output/runs/first_full_trial/conceptual_design:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,cpers,cpers_elaboration,4.0,0.2496812118444877,3.7774226619036,0.8914460821947262,83,agc_long_metric_z,Figurative Language,benchmark_output/runs/first_full_trial/cpers:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,creatset,creatset_pairwise_loss_rate,1.0,2.150151152336193,0.4662650602409638,0.2482313576787938,83,agc_long_metric_z,Story / Narrative,benchmark_output/runs/first_full_trial/creatset:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,crowd_vote,marketing_creativity_judge_originality,3.8,1.1973084085490546,3.050302765428732,0.6261521502883126,83,agc_long_metric_z,Brainstorming,benchmark_output/runs/first_full_trial/crowd_vote:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,cue_word_story,llm_judge_effectiveness,4.0,-0.41161189678038146,4.355421686746988,0.8634874004543794,83,agc_long_metric_z,Story / Narrative,benchmark_output/runs/first_full_trial/cue_word_story:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,data_narrative,bert_score,0.5685216903686523,-0.23882968401975257,0.5861839987176011,0.0739535724859394,83,agc_long_metric_z,Story / Narrative,benchmark_output/runs/first_full_trial/data_narrative:model=anthropic_claude-haiku-4.5/stats.json
