dataset,reason
arena_hard_creative,no_stats_json
arn,no_canonical_value
conceptual_design,no_canonical_value
cpers,no_canonical_value
creatset,no_stats_json
crowd_vote,no_canonical_value
cue_word_story,no_stats_json
eqbench_creative_writing_v3,no_canonical_value
fann_or_flop,no_canonical_value
hypobench,no_stats_json
hypogen,no_canonical_value
liveideabench,no_canonical_value
mops,parse_failure_sentinel_raw=-100.00
pollux_creativity,no_canonical_value
pron_vs_prompt,no_canonical_value
slang_generation,no_canonical_value
writingbench,parse_failure_sentinel_raw=-64.33
