probe,spearman_rho,pearson_r,p,n
AGC composite (mean_z),0.7328827838017824,0.7002244767656048,7.384447269835294e-15,81
AGC: Brainstorming,0.5979098562825198,0.5583564846225232,3.776091626712868e-09,81
AGC: Figurative Language,0.6281045863240582,0.6025622806324569,3.4587036773080474e-10,81
AGC: Humor,0.6223230972510336,0.6240009447143935,5.575778814468089e-10,81
AGC: Problem Solving,0.5851612211976668,0.5659128569303988,9.634974676540205e-09,81
AGC: STEM,0.6322826155369861,0.6119230360882946,2.4341720117353567e-10,81
AGC: Story / Narrative,0.7558619444728859,0.7076535729473861,3.4541768032917575e-16,81
AA Intelligence Index,0.6956137247966041,0.630031806645134,1.190073517814557e-11,72
MMLU-Pro,0.6765470001749548,0.679458680584911,1.4307196958934364e-08,55
GPQA-Diamond,0.6771570942321667,0.6862736891190312,4.77398135392538e-11,73
HLE,0.4886766396177117,0.5244046765924822,1.152362075206514e-05,73
LiveCodeBench,0.5969947326646945,0.5627092509851478,1.5023869370192117e-06,55
AIME 2025,0.5142003730587141,0.4849511900224683,0.00011350222200745659,51
SciCode,0.6807417585470289,0.6959620606171358,3.447367980525031e-11,73
LSA / counterfactual analogies (lsa_acc),0.5419501952147321,0.5157681889101817,2.0828876745634392e-07,80
