benchmark,model,item_id,metric,jrt_gold,agc_judge_score,family
arastories,ai21/jamba-large-1.7,egyptian_13,variety,4,4.0,ai21
arastories,ai21/jamba-large-1.7,egyptian_88,variety,4,3.0,ai21
arastories,ai21/jamba-large-1.7,egyptian_952,variety,4,3.0,ai21
arastories,ai21/jamba-large-1.7,moroccan_275,variety,4,3.0,ai21
arastories,ai21/jamba-large-1.7,moroccan_301,variety,4,4.0,ai21
arastories,ai21/jamba-large-1.7,moroccan_642,variety,3,4.0,ai21
arastories,ai21/jamba-large-1.7,moroccan_762,variety,4,4.0,ai21
arastories,ai21/jamba-large-1.7,moroccan_816,variety,4,3.0,ai21
arastories,ai21/jamba-large-1.7,moroccan_950,variety,3,3.0,ai21
arastories,ai21/jamba-large-1.7,msa_22,variety,4,4.0,ai21
arastories,ai21/jamba-large-1.7,msa_263,variety,4,4.0,ai21
arastories,ai21/jamba-large-1.7,msa_30,variety,4,4.0,ai21
arastories,ai21/jamba-large-1.7,msa_305,variety,2,4.0,ai21
arastories,ai21/jamba-large-1.7,msa_906,variety,4,4.0,ai21
arastories,allenai/olmo-3.1-32b-instruct,egyptian_13,variety,3,3.0,allenai
arastories,allenai/olmo-3.1-32b-instruct,egyptian_787,variety,3,3.0,allenai
arastories,allenai/olmo-3.1-32b-instruct,egyptian_911,variety,2,3.0,allenai
arastories,allenai/olmo-3.1-32b-instruct,moroccan_120,variety,3,3.0,allenai
arastories,allenai/olmo-3.1-32b-instruct,moroccan_759,variety,3,3.0,allenai
arastories,allenai/olmo-3.1-32b-instruct,moroccan_950,variety,2,3.0,allenai
arastories,allenai/olmo-3.1-32b-instruct,moroccan_980,variety,2,3.0,allenai
arastories,allenai/olmo-3.1-32b-instruct,msa_156,variety,3,3.0,allenai
arastories,allenai/olmo-3.1-32b-instruct,msa_22,variety,3,3.0,allenai
arastories,allenai/olmo-3.1-32b-instruct,msa_263,variety,3,3.0,allenai
arastories,allenai/olmo-3.1-32b-instruct,msa_30,variety,3,3.0,allenai
arastories,allenai/olmo-3.1-32b-instruct,msa_305,variety,3,4.0,allenai
arastories,allenai/olmo-3.1-32b-instruct,msa_514,variety,3,4.0,allenai
arastories,allenai/olmo-3.1-32b-instruct,msa_601,variety,3,3.0,allenai
arastories,allenai/olmo-3.1-32b-instruct,msa_910,variety,4,3.0,allenai
arastories,amazon/nova-2-lite-v1,egyptian_53,variety,3,3.0,amazon
arastories,amazon/nova-2-lite-v1,egyptian_787,variety,3,3.0,amazon
arastories,amazon/nova-2-lite-v1,egyptian_88,variety,3,3.0,amazon
arastories,amazon/nova-2-lite-v1,egyptian_911,variety,3,3.0,amazon
arastories,amazon/nova-2-lite-v1,moroccan_275,variety,3,2.0,amazon
arastories,amazon/nova-2-lite-v1,moroccan_301,variety,3,3.0,amazon
arastories,amazon/nova-2-lite-v1,moroccan_762,variety,3,2.0,amazon
arastories,amazon/nova-2-lite-v1,moroccan_950,variety,2,3.0,amazon
arastories,amazon/nova-2-lite-v1,moroccan_980,variety,3,2.0,amazon
