model,datasets,n_metric_obs,mean_z,median_z,n_jrt_cells,rank,release_model
anthropic/claude-opus-4.7,67,67,0.8035671974983681,0.8840123117064044,24,1,yes
openai/gpt-5.4,67,67,0.7367663109855592,0.9313529491093684,24,2,yes
openai/gpt-5.5,67,67,0.7361094495275183,0.7955291662600676,24,3,yes
z-ai/glm-5.1,66,66,0.7110996739435224,0.6966801127718512,24,4,yes
z-ai/glm-5-turbo,66,66,0.6677197377339446,0.7829307334123821,24,5,yes
anthropic/claude-opus-4.6-fast,66,66,0.6632693631384353,0.8220295316913415,24,6,yes
z-ai/glm-5,66,66,0.6508549776714708,0.7002373541626092,24,7,yes
openai/gpt-5.1,66,66,0.6432276967869643,0.7899575838687962,24,8,yes
google/gemma-4-31b-it,67,67,0.6419733012298466,0.6699805731329661,24,9,yes
moonshotai/kimi-k2.5,67,67,0.6350844920352339,0.7303894127643751,24,10,yes
moonshotai/kimi-k2-0905,66,66,0.6122258839102148,0.6551679149136616,24,11,yes
z-ai/glm-4.7,66,66,0.5947211809989446,0.6434792128720569,24,12,yes
anthropic/claude-opus-4.5,67,67,0.5848014304237922,0.7716913674535333,24,13,yes
anthropic/claude-opus-4.6,65,65,0.5789234520056282,0.837492324811499,23,14,yes
google/gemma-4-26b-a4b-it,67,67,0.5391290527155899,0.6097779397565968,24,15,yes
google/gemini-2.5-flash,66,66,0.5077461453638226,0.5424473598268458,24,16,yes
moonshotai/kimi-k2.6,67,67,0.4898234540776453,0.6179756060506661,24,17,yes
anthropic/claude-sonnet-4.5,67,67,0.4885360822494439,0.7670704350145293,24,18,yes
anthropic/claude-sonnet-4.6,67,67,0.48017956909528586,0.7071507745346427,24,19,yes
deepseek/deepseek-v3.2-exp,66,66,0.46542497664941324,0.5885340052617616,24,20,yes
openai/gpt-5.4-mini,66,66,0.4483349581345776,0.5253493112992964,24,21,yes
deepseek/deepseek-v3.1-terminus,66,66,0.44393414221783084,0.5810041183860271,24,22,yes
openai/gpt-4.1,66,66,0.4321669168357144,0.41373806707674615,24,23,yes
deepseek/deepseek-v3.2,66,66,0.41998759461037516,0.490738546774959,24,24,yes
qwen/qwen3.5-flash-02-23,67,67,0.38752465188607665,0.3634478246015207,24,25,yes
qwen/qwen3-next-80b-a3b-instruct,66,66,0.38194370760111973,0.3824197578228724,24,26,yes
anthropic/claude-sonnet-4,66,66,0.3814616934560505,0.6034301656205887,24,27,yes
baidu/ernie-4.5-300b-a47b,66,66,0.3791114173308266,0.32139765254894404,24,28,yes
mistralai/mistral-medium-3.1,67,67,0.3573727865949904,0.3989133893171916,24,29,yes
deepseek/deepseek-chat-v3.1,66,66,0.32486998664156636,0.4067589690533101,24,30,yes
nex-agi/deepseek-v3.1-nex-n1,66,66,0.3214750766553327,0.406165270093625,24,31,yes
