model,n_items,accuracy_strict,accuracy_parsed,mean_lev_to_D,n_errors,lsa_acc,model_underscore
ai21/jamba-large-1.7,500,0.224,0.224,2.908,30,0.224,ai21_jamba-large-1.7
allenai/olmo-3.1-32b-instruct,500,0.148,0.148,4.794,0,0.148,allenai_olmo-3.1-32b-instruct
amazon/nova-2-lite-v1,500,0.196,0.198,8.41,0,0.198,amazon_nova-2-lite-v1
amazon/nova-lite-v1,500,0.298,0.298,3.366,0,0.298,amazon_nova-lite-v1
amazon/nova-micro-v1,500,0.164,0.164,4.658,0,0.164,amazon_nova-micro-v1
amazon/nova-pro-v1,500,0.32,0.32,2.332,0,0.32,amazon_nova-pro-v1
anthropic/claude-3.7-sonnet,500,0.438,0.438,1.826,0,0.438,anthropic_claude-3.7-sonnet
anthropic/claude-haiku-4.5,500,0.4,0.4,2.5,0,0.4,anthropic_claude-haiku-4.5
anthropic/claude-opus-4.5,500,0.536,0.536,1.402,0,0.536,anthropic_claude-opus-4.5
anthropic/claude-opus-4.6,500,0.176,0.428,17.056,0,0.428,anthropic_claude-opus-4.6
anthropic/claude-opus-4.6-fast,500,0.162,0.498,14.6,0,0.498,anthropic_claude-opus-4.6-fast
anthropic/claude-opus-4.7,500,0.3,0.3,7.738,0,0.3,anthropic_claude-opus-4.7
anthropic/claude-sonnet-4,500,0.488,0.49,2.06,0,0.49,anthropic_claude-sonnet-4
anthropic/claude-sonnet-4.5,500,0.098,0.384,7.864,0,0.384,anthropic_claude-sonnet-4.5
anthropic/claude-sonnet-4.6,500,0.098,0.486,4.756,0,0.486,anthropic_claude-sonnet-4.6
arcee-ai/trinity-large-preview,500,0.29,0.29,2.76,0,0.29,arcee-ai_trinity-large-preview
baidu/ernie-4.5-300b-a47b,500,0.412,0.412,1.922,0,0.412,baidu_ernie-4.5-300b-a47b
baidu/ernie-4.5-vl-424b-a47b,500,0.37,0.374,45.7,0,0.374,baidu_ernie-4.5-vl-424b-a47b
deepcogito/cogito-v2.1-671b,500,0.392,0.394,2.986,0,0.394,deepcogito_cogito-v2.1-671b
deepseek/deepseek-chat,500,0.258,0.322,8.608,0,0.322,deepseek_deepseek-chat
deepseek/deepseek-chat-v3-0324,500,0.344,0.368,5.402,0,0.368,deepseek_deepseek-chat-v3-0324
deepseek/deepseek-chat-v3.1,500,0.378,0.378,2.2,0,0.378,deepseek_deepseek-chat-v3.1
deepseek/deepseek-v3.1-terminus,500,0.378,0.378,2.608,0,0.378,deepseek_deepseek-v3.1-terminus
deepseek/deepseek-v3.2,500,0.348,0.35,2.876,0,0.35,deepseek_deepseek-v3.2
deepseek/deepseek-v3.2-exp,500,0.388,0.388,2.52,0,0.388,deepseek_deepseek-v3.2-exp
google/gemini-2.5-flash,500,0.416,0.416,1.678,0,0.416,google_gemini-2.5-flash
google/gemma-2-27b-it,500,0.214,0.214,2.666,0,0.214,google_gemma-2-27b-it
google/gemma-3-12b-it,500,0.228,0.228,4.18,0,0.228,google_gemma-3-12b-it
google/gemma-3-27b-it,500,0.266,0.266,2.664,0,0.266,google_gemma-3-27b-it
google/gemma-3-4b-it,500,0.146,0.146,6.734,0,0.146,google_gemma-3-4b-it
google/gemma-4-26b-a4b-it,500,0.288,0.288,3.922,0,0.288,google_gemma-4-26b-a4b-it
google/gemma-4-31b-it,500,0.472,0.472,1.948,0,0.472,google_gemma-4-31b-it
ibm-granite/granite-4.0-h-micro,500,0.118,0.118,3.988,0,0.118,ibm-granite_granite-4.0-h-micro
meta-llama/llama-3-8b-instruct,500,0.092,0.092,7.314,0,0.092,meta-llama_llama-3-8b-instruct
meta-llama/llama-3.1-70b-instruct,500,0.372,0.372,2.498,0,0.372,meta-llama_llama-3.1-70b-instruct
meta-llama/llama-3.1-8b-instruct,500,0.104,0.104,10.002,0,0.104,meta-llama_llama-3.1-8b-instruct
meta-llama/llama-3.2-11b-vision-instruct,500,0.106,0.106,8.23,0,0.106,meta-llama_llama-3.2-11b-vision-instruct
meta-llama/llama-3.2-3b-instruct,500,0.044,0.044,6.454,0,0.044,meta-llama_llama-3.2-3b-instruct
meta-llama/llama-3.3-70b-instruct,500,0.364,0.364,2.786,0,0.364,meta-llama_llama-3.3-70b-instruct
meta-llama/llama-4-maverick,500,0.396,0.396,2.386,0,0.396,meta-llama_llama-4-maverick
meta-llama/llama-4-scout,500,0.274,0.274,7.074,0,0.274,meta-llama_llama-4-scout
minimax/minimax-01,500,0.376,0.376,1.998,0,0.376,minimax_minimax-01
minimax/minimax-m2-her,500,0.062,0.096,264.758,0,0.096,minimax_minimax-m2-her
mistralai/ministral-8b-2512,500,0.18,0.18,4.41,0,0.18,mistralai_ministral-8b-2512
mistralai/mistral-large-2512,500,0.378,0.378,2.176,9,0.378,mistralai_mistral-large-2512
